,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
20,14590,Emilio Brambilla,M,25.0,,,Italy,ITA
21,15295,"Barbara ""Barb"" Broen-Ouelette",F,19.0,176.0,64.0,Canada,CAN
22,15985,Botjan Bu,M,28.0,176.0,62.0,Slovenia,SLO
23,16692,Declan Burns,M,24.0,178.0,78.0,Ireland,IRL
24,17429,Carola Calello,F,16.0,170.0,65.0,Argentina,ARG
25,18150,Ona Carbonell Ballestero,F,26.0,174.0,54.0,Spain,ESP
26,18889,Joana Sofia de Paiva Castelo,F,27.0,162.0,56.0,Portugal,POR
27,19624,Rafael Hugo Eugenio Ra. Chamberlain Trejos,M,41.0,170.0,70.0,Costa Rica,CRC
28,20362,Cheng Fei,F,20.0,152.0,43.0,China,CHN
29,21107,Marek Piotr Cholewa,M,24.0,176.0,72.0,Poland,POL
