,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
160,115103,Gordon Stevenson,M,44.0,,,United States,USA
161,115785,"Dragutin ""Drago"" tritof",M,28.0,176.0,61.0,Yugoslavia,YUG
162,116472,Sun Kuang-Ming,M,27.0,170.0,90.0,Chinese Taipei-2,TPE
163,117176,Barka N. Sy,M,32.0,171.0,71.0,Senegal,SEN
164,117870,Wadysaw Tajner,M,24.0,172.0,70.0,Poland,POL
165,118581,Luigi Tarantino,M,23.0,188.0,95.0,Italy,ITA
166,119293,Niki Terpstra,M,28.0,185.0,74.0,Netherlands,NED
167,120000,Gillian Akiko Thomson,F,17.0,171.0,58.0,Philippines,PHI
168,120699,Mario Todorovi,M,19.0,186.0,80.0,Croatia,CRO
169,121396,Hajnalka Tth,F,27.0,173.0,67.0,Hungary,HUN
