,Unnamed: 0,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
40,40000,28998,Gennady Konstantinovich Dobrokhotov,M,23.0,175.0,60.0,Soviet Union,URS
41,41000,29684,Edward Bruce Douglas,M,49.0,,,United States,USA
42,42000,30415,Henry Ludwig Duey,M,24.0,,,United States,USA
43,43000,31127,Yuliya Valentynivna Dzhyma,F,23.0,166.0,66.0,Ukraine,UKR
44,44000,31873,Yrj Rafael Ekqvist,M,25.0,172.0,72.0,Finland,FIN
45,45000,32591,Everard Coenraad Endt,M,59.0,,,Llanoria,USA
46,46000,33299,Santiago Esteva Escoda,M,16.0,174.0,67.0,Spain,ESP
47,47000,34019,Mubarak Faraj Bilal,M,,172.0,72.0,United Arab Emirates,UAE
48,48000,34733,Raymundo Fermn Martnez,M,27.0,175.0,71.0,Dominican Republic,DOM
49,49000,35407,Karsten Finger,M,22.0,202.0,104.0,Germany,GER
