,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
80,57800,Tatsumi Kasahara,M,29.0,168.0,60.0,Japan,JPN
81,58519,Kalyn Keller (-Robinson),F,19.0,177.0,72.0,United States,USA
82,59240,Marios Khatziandreou,M,29.0,183.0,76.0,Cyprus,CYP
83,59943,Kim Ho-Gon,M,25.0,184.0,84.0,South Korea,KOR
84,60678,Klmn Kirchmayer,M,26.0,,,Hungary-2,HUN
85,61374,Georgina Klug,F,32.0,172.0,63.0,Argentina,ARG
86,62089,Petri Mikael Kokko,M,25.0,178.0,67.0,Finland,FIN
87,62799,Prodromos Korkizoglou,M,25.0,189.0,78.0,Greece,GRE
88,63474,Radka Kovakov,F,18.0,161.0,47.0,Czech Republic,CZE
89,64183,Jnos Krizsn,M,21.0,175.0,72.0,Hungary,HUN
