,Unnamed: 0,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
70,70000,50497,"Vra Helena Hrub (-Ralston, -Yates, -Alva)",F,15.0,,,Czechoslovakia,TCH
71,71000,51224,Musaddiq Hussain,M,20.0,170.0,63.0,Pakistan,PAK
72,72000,51945,Im Geum-Ja,F,17.0,161.0,56.0,South Korea,KOR
73,73000,52651,Nicolae Istrate,M,27.0,183.0,88.0,Romania,ROU
74,74000,53380,Petr Jkl,M,26.0,195.0,112.0,Czech Republic,CZE
75,75000,54077,Oscar Jay,M,,,,France,FRA
76,76000,54823,Bjrn Erik Jilsn,M,25.0,193.0,95.0,Sweden,SWE
77,77000,55561,Olli Veli Pekka Jokinen,M,23.0,187.0,91.0,Finland,FIN
78,78000,56315,Josef Jungmann,M,36.0,,,Czechoslovakia,TCH
79,79000,57077,Ewa Urszula Kamiska-Eichler,F,23.0,164.0,69.0,Poland,POL
