Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
64895,Naresh Kumar,M,22.0,160.0,74.0,India,IND
65608,"Johan Henrik ""Juhani"" Laakso",M,26.0,176.0,73.0,Finland,FIN
66340,Mabel Marie Landry (-Staton),F,19.0,165.0,60.0,United States,USA
67072,Jrn Lauenborg (Hansen-),M,27.0,185.0,65.0,Denmark,DEN
67797,Lee Chae-On,M,25.0,188.0,84.0,South Korea,KOR
68520,Lia Leismller (-Braun),F,20.0,,,Germany,GER
69253,"Randall Scott ""Randy"" Lewis",M,25.0,173.0,64.0,United States,USA
69974,Lin Jicheng,M,27.0,174.0,73.0,China,CHN
70680,Liu Yen-Chiu,F,22.0,165.0,58.0,Chinese Taipei,TPE
71377,Isel Lpez Rodrguez,F,26.0,174.0,74.0,Cuba,CUB
