,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
180,129352,Gottfried Weilenmann,M,,,,Switzerland,SUI
181,130051,"Graeme Alexander Stewart Lockhart ""Sandy"" Whitelaw",M,25.0,,,Great Britain,GBR
182,130761,Charles Henry Willumsen,M,29.0,,,Denmark,DEN
183,131504,Todd Andrew Woodbridge,M,21.0,178.0,75.0,Australia,AUS
184,132212,Vladislav Pavlovich Yakovlev,M,23.0,188.0,85.0,Kazakhstan,KAZ
185,132948,Lyudmila Andreyevna Yezhova-Grebenkova,F,22.0,140.0,39.0,Russia,RUS
186,133643,Vadim Zadoinov,M,31.0,187.0,72.0,Moldova,MDA
187,134353,Christin Zenner,F,17.0,174.0,61.0,Germany,GER
188,135045,Rbert Zimonyi,M,30.0,170.0,52.0,Hungary,HUN
