,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
30,21842,Joetta Clark-Diggs,F,26.0,168.0,56.0,United States,USA
31,22569,Gianni Comandini,M,23.0,186.0,80.0,Italy,ITA
32,23289,Joana Ribeiro Costa,F,35.0,173.0,60.0,Brazil,BRA
33,24015,Jaime Cruells Folguera,M,18.0,,,Spain,ESP
34,24729,Pedro Henrique Gonalves da Silva,M,23.0,176.0,69.0,Brazil,BRA
35,25442,Tuba Dademir-Kocaaa,F,24.0,165.0,62.0,Turkey,TUR
36,26145,"Henri Franciscus ""Huug"" de Groot",M,21.0,,,Netherlands,NED
37,26867,Felix Lucien Roger Debax,M,35.0,,,France,FRA
38,27563,Dencho Todorov Denev,M,39.0,165.0,65.0,Bulgaria,BUL
39,28290,Robert Diaz,M,,,,France,FRA
