,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
100,72103,Laura Ludwig,F,30.0,181.0,70.0,Germany-1,GER
101,72832,Michael Macaque,M,26.0,178.0,103.0,Mauritius,MRI
102,73554,Duncan Mahlangu,M,21.0,183.0,68.0,South Africa,RSA
103,74255,Tadashi Mamiya,M,,,,Japan,JPN
104,74965,Serghei Marghiev,M,19.0,195.0,97.0,Moldova,MDA
105,75667,Vladimr Martinec,M,30.0,173.0,84.0,Czechoslovakia,TCH
106,76387,Ladislav Mateti,M,24.0,,,Yugoslavia,YUG
107,77094,Svitlana Ivanivna Maziy (-Pachkun),F,36.0,183.0,80.0,Ukraine,UKR
108,77836,Brent McMahon,M,23.0,178.0,65.0,Canada,CAN
109,78559,Csar David Menacho Flores,M,43.0,170.0,80.0,Bolivia,BOL
