Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
70680,Liu Yen-Chiu,F,22,165,58,Chinese Taipei,TPE
71377,Isel Lpez Rodrguez,F,26,174,74,Cuba,CUB
72103,Laura Ludwig,F,30,181,70,Germany-1,GER
72832,Michael Macaque,M,26,178,103,Mauritius,MRI
73554,Duncan Mahlangu,M,21,183,68,South Africa,RSA
74255,Tadashi Mamiya,M,,,,Japan,JPN
74965,Serghei Marghiev,M,19,195,97,Moldova,MDA
75667,Vladimr Martinec,M,30,173,84,Czechoslovakia,TCH
76387,Ladislav Mateti,M,24,,,Yugoslavia,YUG
77094,Svitlana Ivanivna Maziy (-Pachkun),F,36,183,80,Ukraine,UKR
77836,Brent McMahon,M,23,178,65,Canada,CAN
78559,Csar David Menacho Flores,M,43,170,80,Bolivia,BOL
79261,Albert Meyong Ze,M,19,172,,Cameroon,CMR
79967,Vasiliki Millousi,F,32,155,45,Greece,GRE
80684,Ambrose Mlilo,M,24,175,71,Zimbabwe,ZIM
81421,Rolf Monsen,M,33,175,,United States,USA
82158,Jrgen Hjorth Moritzen,M,29,,73.5,Denmark,DEN
82898,Ahmad Salam Muhammad,M,40,163,58,Pakistan,PAK
83646,Beybulat Zainalovich Musayev,M,23,182,85,Belarus,BLR
84358,Akira Nakao,M,22,,,Japan,JPN
85067,Hiroshi Negami,M,23,,,Japan,JPN
85788,Christian Elza Niccum,M,36,188,86,United States-1,USA
86488,Takanobu Nishi,M,25,170,72,Japan,JPN
87220,Danuta Krystyna Nowak-Stachow (-Wroska),F,26,159,56,Poland,POL
87898,Flix C. Ocampo,M,23,173,70,Philippines,PHI
88648,Stanisaw Feliks Olejniczak,M,26,193,84,Poland,POL
89367,Sndor Orbn,M,28,157,51,Hungary,HUN
90088,Fabrice Ougier,M,26,172,72,France,FRA
90807,Frdric Pallul,M,24,173,63,France-2,FRA
91515,Park Hyeon-Gon,M,20,172,67,South Korea,KOR
92241,Maya Paunovska,F,20,170,52,Bulgaria,BUL
92951,Mario Pea Maldonado,M,24,186,85,Mexico,MEX
93671,Marika Avtandilovna Pertakhiya,F,21,170,56,Russia,RUS
94359,Beat Pfister,M,23,189,69,Switzerland,SUI
95060,Tatjana Lofamakanda Pinto,F,24,170,56,Germany,GER
95759,Matja Poklukar,M,33,183,74,Slovenia,SLO
96458,Herman Karel Potgieter,M,24,192,120,South Africa,RSA
97172,Valentin Ivanovich Prokopov,M,27,,,Soviet Union,URS
97872,Charles Quervel,M,,,,France,FRA
98590,Edvinas Ramanauskas,M,30,184,90,Lithuania,LTU
99299,Jean-Luc Razakarivony,M,28,190,82,Madagascar,MAD
100028,Efthymios Rentzias,M,20,213,115,Greece,GRE
100737,Bruno Riem,M,,,,Switzerland,SUI
101458,"Matthew MacKenzie ""Mack"" Robinson",M,22,186,77,United States,USA
102162,Pierre Rolland,M,21,184,67,France,FRA
102890,Lydia Chebet Rotich,F,23,157,45,Kenya,KEN
103592,Ihor Pavlovych Russ,M,27,174,62,Ukraine,UKR
104314,Hayrullah ahinkaya,M,26,169,63,Turkey,TUR
105034,Erasto Kambon Sampson,M,21,,,Saint Vincent and the Grenadines,VIN
105748,Jlia Albino Sard,F,33,174,64,Brazil,BRA
106460,"Edward Richard ""Eddie"" Scarf",M,27,180,99,Australia,AUS
107173,Sandra Marie Schmirler (-Peterson-),F,34,184,72,Canada,CAN
107888,Lilli Schwarzkopf,F,28,174,65,Germany,GER
108611,Celal ener,M,18,,,Turkey,TUR
109360,Robert' Shavlaq'adze,M,31,186,80,Soviet Union,URS
110096,Lyubov Andreyevna Shutova,F,29,177,64,Russia,RUS
110785,Jrgen Simon,M,22,186,85,Germany,GER
111519,Helge Evert Sjgren,M,25,,,Sweden,SWE
112211,Cecile Elaine Eustace Smith (-Hedstrom),F,15,,,Canada,CAN
112937,Petrissa Solja,F,22,168,67,Germany,GER
113713,Albert Ralph Spearow,M,28,180,66,United States,USA
114416,Andrs Stark,M,26,162,79,Hungary,HUN
115103,Gordon Stevenson,M,44,,,United States,USA
115785,"Dragutin ""Drago"" tritof",M,28,176,61,Yugoslavia,YUG
116472,Sun Kuang-Ming,M,27,170,90,Chinese Taipei-2,TPE
117176,Barka N. Sy,M,32,171,71,Senegal,SEN
117870,Wadysaw Tajner,M,24,172,70,Poland,POL
118581,Luigi Tarantino,M,23,188,95,Italy,ITA
119293,Niki Terpstra,M,28,185,74,Netherlands,NED
120000,Gillian Akiko Thomson,F,17,171,58,Philippines,PHI
120699,Mario Todorovi,M,19,186,80,Croatia,CRO
121396,Hajnalka Tth,F,27,173,67,Hungary,HUN
122111,Mara Trujillo Tenorio de Rios,F,24,157,52,Mexico,MEX
122826,Hannah Kaya Turski,F,25,165,58,Canada,CAN
123530,Annika Urvikko,F,21,157,57,Finland,FIN
124251,Karen Van de Graaf (-Ramsay),F,17,167,70,Australia,AUS
125014,Inke van Wyk,F,29,160,61,South Africa,RSA
125746,Bart Veldkamp,M,24,181,84,Netherlands,NED
126453,Viville,M,,,,France,FRA
127176,Stephan Volkert,M,24,200,105,Germany,GER
127897,Kristin Wagner,F,33,162,57,Germany,GER
128628,Wang Yimei,F,20,190,90,China,CHN
129352,Gottfried Weilenmann,M,,,,Switzerland,SUI
130051,"Graeme Alexander Stewart Lockhart ""Sandy"" Whitelaw",M,25,,,Great Britain,GBR
130761,Charles Henry Willumsen,M,29,,,Denmark,DEN
131504,Todd Andrew Woodbridge,M,21,178,75,Australia,AUS
132212,Vladislav Pavlovich Yakovlev,M,23,188,85,Kazakhstan,KAZ
132948,Lyudmila Andreyevna Yezhova-Grebenkova,F,22,140,39,Russia,RUS
133643,Vadim Zadoinov,M,31,187,72,Moldova,MDA
134353,Christin Zenner,F,17,174,61,Germany,GER
135045,Rbert Zimonyi,M,30,170,52,Hungary,HUN
