NOC,region
FRG,Germany
FSM,Micronesia
GAB,Gabon
GAM,Gambia
GBR,UK
GBS,Guinea-Bissau
GDR,Germany
GEO,Georgia
GEQ,Equatorial Guinea
GER,Germany
