NOC,region
MEX,Mexico
MGL,Mongolia
MHL,Marshall Islands
MKD,Macedonia
MLI,Mali
MLT,Malta
MNE,Montenegro
MON,Monaco
MOZ,Mozambique
MRI,Mauritius
