NOC,region
BEN,Benin
BER,Bermuda
BHU,Bhutan
BIH,Bosnia and Herzegovina
BIZ,Belize
BLR,Belarus
BOH,Czech Republic
BOL,Boliva
BOT,Botswana
BRA,Brazil
