NOC,region
MTN,Mauritania
MYA,Myanmar
NAM,Namibia
NBO,Malaysia
NCA,Nicaragua
NED,Netherlands
NEP,Nepal
NFL,Canada
NGR,Nigeria
NIG,Niger
