NOC,region
HUN,Hungary
INA,Indonesia
IND,India
IOA,Individual Olympic Athletes
IRI,Iran
IRL,Ireland
IRQ,Iraq
ISL,Iceland
ISR,Israel
ISV,"Virgin Islands, US"
