NOC,region
BRN,Bahrain
BRU,Brunei
BUL,Bulgaria
BUR,Burkina Faso
CAF,Central African Republic
CAM,Cambodia
CAN,Canada
CAY,Cayman Islands
CGO,Republic of Congo
CHA,Chad
