NOC,region
SUI,Switzerland
SUR,Suriname
SVK,Slovakia
SWE,Sweden
SWZ,Swaziland
SYR,Syria
TAN,Tanzania
TCH,Czech Republic
TGA,Tonga
THA,Thailand
