NOC,region
ARU,Aruba
ASA,American Samoa
AUS,Australia
AUT,Austria
AZE,Azerbaijan
BAH,Bahamas
BAN,Bangladesh
BAR,Barbados
BDI,Burundi
BEL,Belgium
