,Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
100,50605,CHN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
101,51070,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
102,51597,ROU,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
103,52114,FIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Javelin Throw,
104,52626,NED,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Painting,
105,53146,GBR,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
106,53618,KOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
107,54082,SRI,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,
108,54599,KOR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,
109,55109,NOR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,
