,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
10,10000,5463,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,
11,11000,6008,ITA,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Women's Singles,
12,12000,6541,POL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,
13,13000,7070,CAN,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,
14,14000,7571,CAN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Individual",
15,15000,8096,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,
16,16000,8620,GBR,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 333 metres Time Trial,
17,17000,9105,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",
18,18000,9565,GBR,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",
19,19000,10051,ITA,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",
