,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
70,70000,35659,POR,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed Two Person Keelboat,
71,71000,36149,AND,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,
72,72000,36632,ITA,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,
73,73000,37102,FRA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Fours,
74,74000,37597,GER,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,
75,75000,38057,ARG,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",
76,76000,38573,CUB,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,
77,77000,39076,FRA,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",Gold
78,78000,39611,BUL,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,
79,79000,40112,GRE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
