,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
160,160000,80289,SCG,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",
161,161000,80791,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,
162,162000,81330,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,
163,163000,81843,CZE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
164,164000,82311,AUT,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",
165,165000,82860,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,
166,166000,83365,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
167,167000,83902,FIN,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver
168,168000,84408,LIB,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
169,169000,84953,ROU,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
