,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
0,0,1,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,
1,1000,562,POL,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",
2,2000,1106,IRI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
3,3000,1671,JPN,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,
4,4000,2305,ARG,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
5,5000,2851,CAN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
6,6000,3370,ITA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
7,7000,3926,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
8,8000,4432,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,
9,9000,4949,TCH,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,
