Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
55617,USA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
56161,KOR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,
56724,ZIM,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
57251,THA,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed One Person Dinghy,
57745,NED,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",
58252,LIB,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",
58749,NZL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,
59243,CYP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Windsurfer,
59706,NOR,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,
60241,KOR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,
