,Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
220,110513,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
221,111027,IND,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,
222,111574,YUG,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,
223,112002,NED,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",
224,112509,AUT,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,
225,113040,ITA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",
226,113566,DEN,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Team",Silver
227,114070,EGY,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
228,114527,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
229,114977,NRU,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,
