,Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
150,75223,CAN,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Individual",
151,75779,GUA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,
152,76283,ITA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Bronze
153,76785,POL,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,
154,77319,GBR,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
155,77793,NZL,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,
156,78324,COL,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",
157,78863,ISV,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
158,79317,CHN,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,
159,79812,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,
