,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
50,50000,25745,GBR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Silver
51,51000,26213,NED,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Women's 5,000 metres",
52,52000,26727,USA,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Women's Foil, Individual",
53,53000,27214,FRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",
54,54000,27708,YUG,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,
55,55000,28189,POR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
56,56000,28693,CAN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,
57,57000,29198,AUT,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
58,58000,29680,GBR,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,
59,59000,30200,RSA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Featherweight, Freestyle",
