Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
30729,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Individual",
31251,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Bronze
31743,LTU,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Bronze
32293,ISL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Pole Vault,
32791,LUX,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rings,
33265,GER,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",
33769,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
34270,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
34732,AHO,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,
35183,FRA,1920 Summer,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Individual",Silver
