Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
115465,USA,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,
115928,NZL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 100 metres,
116394,AFG,1936 Summer,1936,Summer,Berlin,Hockey,Hockey Men's Hockey,
116876,NOR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Silver
117363,POL,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Mountainbike, Cross-Country",
117845,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 12 metres,Gold
118331,JPN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
118843,TUR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,
119349,TCH,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Points Race,
119817,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,
