,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
270,270000,135074,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 800 metres,Bronze
271,271000,135513,ARG,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
