Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
90475,ESP,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
90973,BUL,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
91465,KOR,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,
91977,POL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
92472,ISR,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles,
92985,FRA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",
93516,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,
94003,FRA,1992 Winter,1992,Winter,Albertville,Figure Skating,Figure Skating Men's Singles,
94442,AUS,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,
94940,POL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
