,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
140,140000,70291,NOR,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
141,141000,70777,SWE,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
142,142000,71234,ITA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,
143,143000,71761,HUN,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,
144,144000,72270,SWE,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
145,145000,72776,NED,1952 Winter,1952,Winter,Oslo,Speed Skating,Speed Skating Men's 500 metres,
146,146000,73260,DEN,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",
147,147000,73771,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,
148,148000,74273,CHN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
149,149000,74733,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Obstacle Course,
