Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
125207,URS,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
125720,PER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,
126199,RUS,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,
126681,USA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,
127184,RUS,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
127645,ARU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
128186,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,
128685,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver
129196,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,
129664,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,
