,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
120,120000,60751,FIN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
121,121000,61202,CAN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Rifle, 10 metres",
122,122000,61682,JPN,1998 Winter,1998,Winter,Nagano,Luge,Luge Women's Singles,
123,123000,62165,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,
124,124000,62636,SWE,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,
125,125000,63092,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,
126,126000,63544,CAN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Long Jump,
127,127000,64027,AUT,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,
128,128000,64503,CZE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,
129,129000,64950,RUS,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,
